step	loss	lr	tok_per_s	rss_mb	per_task
134	7.586881	3.6697e-05	269.3	14065	listen=6.7968(2) speak=9.1480(4) text=5.2547(2) 
135	7.033834	3.5982e-05	498.7	14065	listen=6.1350(4) speak=9.2142(3) text=4.0881(1) 
136	8.169319	3.5273e-05	468.5	14065	listen=6.3524(3) speak=9.2595(5) 
137	7.847851	3.4570e-05	463.0	14065	listen=6.5518(4) speak=9.1439(4) 
138	7.771217	3.3874e-05	488.5	14065	listen=6.7299(4) speak=9.2149(3) text=7.6055(1) 
139	7.539712	3.3184e-05	494.7	14065	listen=7.3156(5) speak=9.2755(2) text=5.1885(1) 
140	7.879228	3.2500e-05	485.4	14065	listen=6.4430(4) speak=9.3155(4) 
141	8.123684	3.1823e-05	435.6	14065	listen=6.0819(3) speak=9.3488(5) 
142	8.222602	3.1154e-05	460.4	14065	listen=6.6739(3) speak=9.1518(5) 
143	7.818845	3.0491e-05	375.5	14065	listen=6.3503(4) speak=9.2873(4) 
144	7.351758	2.9836e-05	345.6	14065	listen=6.2017(5) speak=9.2685(3) 
145	8.268738	2.9189e-05	175.2	14065	listen=6.2523(1) speak=8.9774(6) text=6.0331(1) 
146	7.538893	2.8550e-05	335.6	14065	listen=6.2124(3) speak=9.0951(4) text=5.2937(1) 
147	8.006996	2.7918e-05	207.1	14065	listen=6.7058(4) speak=9.3082(4) 
148	7.195569	2.7295e-05	470.4	14065	listen=6.6548(6) speak=8.8179(2) 
149	7.739855	2.6681e-05	301.3	14065	listen=6.3350(4) speak=9.1447(4) 
150	7.484734	2.6075e-05	291.9	14065	listen=6.6961(4) speak=9.0124(3) text=6.0561(1) 
151	7.097525	2.5477e-05	302.9	14065	listen=6.4429(6) speak=9.0615(2) 
152	7.743388	2.4889e-05	355.1	14065	listen=6.6291(3) speak=9.0925(4) text=5.6898(1) 
153	7.301138	2.4310e-05	435.8	14065	listen=6.2636(4) speak=9.3620(3) text=5.2688(1) 
154	7.874874	2.3740e-05	290.6	14065	listen=6.3955(4) speak=9.3543(4) 
155	7.478436	2.3180e-05	324.2	14065	listen=6.4640(5) speak=9.1691(3) 
156	6.740059	2.2630e-05	538.9	14065	listen=6.3772(7) speak=9.2803(1) 
157	6.741744	2.2089e-05	330.3	14065	listen=6.7393(4) speak=9.2034(2) text=4.2849(2) 
158	7.355082	2.1558e-05	447.3	14065	listen=6.3063(5) speak=9.1030(3) 
159	7.431685	2.1038e-05	393.4	14065	listen=6.4984(5) speak=8.9872(3) 
160	8.925629	2.0528e-05	215.8	14065	listen=6.7652(1) speak=9.2343(7) 
161	7.601611	2.0028e-05	407.3	14065	listen=6.5541(3) speak=9.1592(4) text=4.5140(1) 
